person1,person2,common_pubs
1024225,1021705,26
1024225,1027020,5
1024225,1022548,1
1024225,1021522,26
1024225,1024095,26
1024225,1021407,26
1024225,1022953,24
1024225,1024177,26
1024225,1021938,3
1024225,1024405,22
1024225,1023795,18
1024225,1022861,26
1024225,1022491,13
1024225,1034936,18
1024225,1023583,24
1024225,1022077,26
1024225,1023687,26
1024225,1024626,17
1024225,1024255,1
1024225,1028012,20
1024225,1022918,2
1024225,1023610,25
1024225,1024535,1
1024225,1023260,1
1024225,1023289,26
1024225,1022682,10
1024225,1022197,16
1024225,1033010,1
1024225,1024028,2
1024225,1021499,26
1024225,1026976,15
1024225,1022283,2
1024225,1027143,11
1024225,1023965,7
1024225,1023044,26
1024225,1023195,24
1024225,1023663,9
1024225,1034874,11
1024225,1022275,26
1024225,1023641,26
1024225,1022303,26
1024225,1035175,1
1024225,1022483,26
1024225,1022709,23
1024225,1023511,17
1024225,1023090,18
1024225,1023219,26
1024225,1024108,26
1024225,1025867,1
1024225,1023255,25
1024225,1021482,26
1024225,1024055,19
1024225,1022540,22
1024225,1022381,14
1024225,1023173,1
1024225,1021557,26
1024225,1023635,26
1024225,1034927,16
1024225,1023855,25
1024225,1023259,10
1024225,1021599,26
1024225,1023060,20
1024225,1023514,26
1024225,1024229,6
1024225,1023412,26
1024225,1021967,2
1024225,1023012,26
1024225,1022479,26
1024225,1034765,20
1024225,1022985,1
1024225,1021682,26
1024225,1029220,17
1024225,1022447,26
1024225,1024146,9
1024225,1023117,18
1024225,1022098,26
1024225,1022725,23
1024225,1035535,1
1024225,1022227,26
1024225,1022675,26
1024225,1023924,26
1024225,1034856,18
1024225,1029889,4
1024225,1021916,26
1024225,1024246,26
1024225,1024497,12
1024225,1024337,26
1024225,1022078,20
1024225,1021752,21
1024225,1021683,1
1024225,1021612,26
1024225,1024366,2
1024225,1022174,26
1024225,1034962,13
1024225,1024320,8
1024225,1023397,25
1024225,1022906,26
1024225,1021464,16
1024225,1023185,18
1024225,1023582,6
1024225,1024625,1
1024225,1024322,2
1024225,1022646,18
1024225,1023174,26
1024225,1025642,22
1024225,1034917,24
1024225,1022975,22
1024225,1026510,3
1024225,1025874,4
1024225,1021434,21
1024225,1028908,15
1024225,1022984,20
1024225,1021562,26
1024225,1025955,1
1024225,1023391,26
1024225,1022237,26
1024225,1035059,2
1024225,1024295,26
1024225,1025919,8
1024225,1023334,2
1024225,1023184,24
1024225,1022556,26
1024225,1023692,26
1024225,1023432,26
1024225,1024375,26
1024225,1022557,23
1024225,1023971,26
1024225,1025832,23
1024225,1024430,26
1024225,1023181,20
1024225,1035179,2
1024225,1022558,21
1024225,1022469,26
1024225,1023127,22
1024225,1023030,16
1024225,1022147,26
1024225,1024519,12
1024225,1024041,25
1024225,1035254,12
1024225,1021600,26
1024225,1023684,26
1024225,1023711,26
1024225,1023439,26
1024225,1022842,26
1024225,1024543,4
1024225,1021984,8
1024225,1023238,23
1024225,1022349,12
1024225,1022567,2
1024225,1034886,22
1024225,1025294,8
1024225,1021463,26
1024225,1021662,1
